M0189_1.02	ID1
M0198_1.02	SOHLH2
M0211_1.02	MLXIP
M0212_1.02	TCFL5
M0384_1.02	OSR1
M0395_1.02	ZSCAN26
M0398_1.02	ZSCAN10
M0404_1.02	ZNF202
M0408_1.02	ZKSCAN1
M0413_1.02	ZBTB1
M0428_1.02	ZNF691
M0432_1.02	ZBTB14
M0436_1.02	ZNF35
M0437_1.02	ZNF32
M0442_1.02	ZBTB3
M0594_1.02	LIN54
M0607_1.02	KDM2B
M0608_1.02	KMT2A
M0609_1.02	DNMT1
M0610_1.02	TET1
M0629_1.02	DMRT3
M0631_1.02	DMRT1
M0632_1.02	DMRTA2
M0633_1.02	DMRT2
M0635_1.02	DMRTC2
M0820_1.02	TFCP2L1
M0893_1.02	ZFHX2
M0894_1.02	LBX1
M0898_1.02	ZHX1
M0906_1.02	VTN
M0938_1.02	SIX3
M0983_1.02	DBX2
M0996_1.02	HDX
M1066_1.02	TLX3
M1106_1.02	HLX
M1110_1.02	HHEX
M1266_1.02	IRF6
M1295_1.02	NAIF1
M1358_1.02	TERF2
M1359_1.02	MYPOP
M1418_1.02	MYRF
M1508_1.02	LCOR
M1545_1.02	GMEB1
M1581_1.02	CIC
M1582_1.02	HMG20B
M1583_1.02	BBX
M1589_1.02	SOX30
M1592_1.02	SOX3
M1594_1.02	SOX12
M1668_1.02	PRKRIR
M1862_1.02	FOXF2
M1863_1.02	FOXD1
M1868_1.02	GATA2
M1901_1.02	RREB1
M1903_1.02	ELK4
M1927_1.02	MYCL
M1950_1.02	ZNF354C
M1954_1.02	LHX1
M1965_1.02	FOXA1
M1970_1.02	NFIC
M1972_1.02	PLAG1
M2053_1.02	SIX1
M2065_1.02	ESR2
M2191_1.02	TBPL2
M2264_1.02	ATOH1
M2267_1.02	CDX2
M2268_1.02	CEBPB
M2270_1.02	DUX4
M2281_1.02	FOXH1
M2283_1.02	FOXP1
M2301_1.02	NFYB
M2306_1.02	POU2F2
M2313_1.02	SOX6
M2319_1.02	TCF7L2
M2323_1.02	ZBTB33
M2329_1.02	SMAD5
M2385_1.02	FOXP2
M2391_1.02	KLF5
M2917_1.02	AHR
M2942_1.02	KLF12
M2943_1.02	TFAP4
M2957_1.02	ARNT
M2960_1.02	NR2F2
M2980_1.02	BACH2
M3016_1.02	ALX1
M3018_1.02	CDC5L
M3040_1.02	CEBPA
M3068_1.02	MYB
M3088_1.02	ATF2
M3091_1.02	REL
M3133_1.02	E2F1
M3154_1.02	TCF3
M3156_1.02	NFIL3
M3176_1.02	EGR2
M3225_1.02	MECOM
M3295_1.02	FOXC1
M3298_1.02	FOXL1
M3339_1.02	NR6A1
M3341_1.02	GFI1
M3407_1.02	HNF1A
M3411_1.02	FOXA2
M3428_1.02	HOXA5
M3433_1.02	HOXA3
M3447_1.02	XBP1
M3452_1.02	IKZF1
M3467_1.02	IRF1
M3471_1.02	IRF2
M3516_1.02	LMO2
M3524_1.02	TOPORS
M3546_1.02	PATZ1
M3550_1.02	MEF2A
M3574_1.02	ARID5B
M3589_1.02	MYOD1
M3602_1.02	TLX2
M3623_1.02	RELA
M3628_1.02	NFYA
M3631_1.02	NKX2-2
M3633_1.02	NKX2-5
M3638_1.02	NKX3-1
M3640_1.02	NKX6-1
M3666_1.02	REST
M3675_1.02	POU2F1
M3695_1.02	EP300
M3698_1.02	TP53
M3713_1.02	PAX3
M3718_1.02	PAX4
M3721_1.02	PAX5
M3733_1.02	PBX1
M3772_1.02	POU3F2
M3781_1.02	PPARA
M3784_1.02	PPARG
M3830_1.02	RFX1
M3913_1.02	SOX5
M3945_1.02	SREBF1
M3952_1.02	SRF
M3966_1.02	STAT1
M3974_1.02	STAT3
M3986_1.02	STAT5A
M4011_1.02	TBP
M4013_1.02	CREB1
M4030_1.02	NFE2L1
M4343_1.02	ARID2
M4452_1.02	BATF
M4453_1.02	BCL11A
M4454_1.02	BRCA1
M4480_1.02	USF1
M4509_1.02	POU5F1
M4515_1.02	USF2
M4526_1.02	SMARCC1
M4527_1.02	SMARCC2
M4545_1.02	ZNF683
M4551_1.02	ZNF274
M4557_1.02	JUN
M4558_1.02	MYC
M4565_1.02	FOSL2
